Driver,EventName,TyreLife,exact_compound,delta_from_fresh,dirty_air,TrackTemp,AirTemp
MAG,Bahrain Grand Prix,5.0,C3,0.06070588235293428,0.8974,23.5,18.3
ZHO,Bahrain Grand Prix,5.0,C3,0.18670588235293906,0.885,23.5,18.3
SAR,Bahrain Grand Prix,5.0,C3,0.3114375000000109,0.8464,23.5,18.3
RIC,Bahrain Grand Prix,8.0,C3,0.14988235294117658,0.7904,23.5,18.3
OCO,Bahrain Grand Prix,5.0,C3,-0.15279411764706197,0.88,23.5,18.3
GAS,Bahrain Grand Prix,5.0,C3,-0.09209183673469568,0.9202,23.5,18.3
STR,Bahrain Grand Prix,5.0,C3,0.7290192307692251,0.7404,23.5,18.3
BOT,Bahrain Grand Prix,5.0,C3,1.6787058823529435,0.0,23.5,18.3
HUL,Bahrain Grand Prix,4.0,C1,0.41549999999999443,0.0,23.5,18.3
VER,Bahrain Grand Prix,9.0,C3,1.0152307692307687,0.0,23.5,18.3
RUS,Bahrain Grand Prix,9.0,C3,1.542423076923086,0.20599999999999996,23.5,18.3
LEC,Bahrain Grand Prix,9.0,C3,1.1392307692307782,0.8089999999999999,23.5,18.3
PER,Bahrain Grand Prix,9.0,C3,1.501230769230773,0.8842,23.5,18.3
SAI,Bahrain Grand Prix,9.0,C3,0.8254230769230873,0.885,23.5,18.3
NOR,Bahrain Grand Prix,9.0,C3,0.5556153846153933,0.40460000000000007,23.5,18.3
PIA,Bahrain Grand Prix,9.0,C3,0.16761538461538805,0.658,23.5,18.3
ALO,Bahrain Grand Prix,9.0,C3,0.38661538461538214,0.8211999999999999,23.5,18.3
HAM,Bahrain Grand Prix,9.0,C3,0.28919230769231774,0.8956,23.5,18.3
TSU,Bahrain Grand Prix,6.0,C3,-0.0034117647058877765,0.8198,23.5,18.3
ALB,Bahrain Grand Prix,6.0,C3,0.10408823529411393,0.8168,23.5,18.3
MAG,Bahrain Grand Prix,6.0,C3,0.06958823529410552,0.884,23.5,18.3
ZHO,Bahrain Grand Prix,6.0,C3,-0.06741176470589494,0.8406,23.5,18.3
SAR,Bahrain Grand Prix,6.0,C3,0.1958125000000024,0.8546,23.5,18.3
RIC,Bahrain Grand Prix,9.0,C3,0.1907647058823443,0.8009999999999999,23.5,18.3
OCO,Bahrain Grand Prix,6.0,C3,0.13708823529410097,0.8928,23.5,18.3
GAS,Bahrain Grand Prix,6.0,C3,0.4010714285714414,0.9154,23.5,18.3
STR,Bahrain Grand Prix,6.0,C3,0.9838269230769328,0.7282,23.5,18.3
BOT,Bahrain Grand Prix,6.0,C3,0.8535882352941115,0.8413999999999999,23.5,18.3
HUL,Bahrain Grand Prix,5.0,C1,0.7055000000000007,0.0,23.5,18.3
VER,Bahrain Grand Prix,10.0,C3,1.0160384615384572,0.0,23.7,18.3
RUS,Bahrain Grand Prix,10.0,C3,1.8952307692307642,0.0676,23.7,18.3
PER,Bahrain Grand Prix,10.0,C3,1.5540384615384681,0.6854,23.7,18.3
LEC,Bahrain Grand Prix,10.0,C3,2.369038461538466,0.0,23.7,18.3
SAI,Bahrain Grand Prix,10.0,C3,1.3992307692307833,0.7774,23.7,18.3
NOR,Bahrain Grand Prix,10.0,C3,0.5744230769230825,0.37359999999999993,23.7,18.3
PIA,Bahrain Grand Prix,10.0,C3,0.251423076923075,0.6462,23.7,18.3
ALO,Bahrain Grand Prix,10.0,C3,0.3964230769230852,0.8016,23.7,18.3
HAM,Bahrain Grand Prix,10.0,C3,0.0,0.8695999999999999,23.7,18.3
TSU,Bahrain Grand Prix,7.0,C3,0.055470588235294827,0.7842,23.7,18.3
ALB,Bahrain Grand Prix,7.0,C3,0.5559705882352972,0.774,23.7,18.3
MAG,Bahrain Grand Prix,7.0,C3,1.6544705882352986,0.8932,23.7,18.3
ZHO,Bahrain Grand Prix,7.0,C3,1.017470588235284,0.8488,23.7,18.3
SAR,Bahrain Grand Prix,7.0,C3,1.1371875000000102,0.8358,23.7,18.3
RIC,Bahrain Grand Prix,10.0,C3,0.7506470588235317,0.7796,23.7,18.3
OCO,Bahrain Grand Prix,7.0,C3,0.47097058823528926,0.8558,23.7,18.3
GAS,Bahrain Grand Prix,7.0,C3,0.4382346938775612,0.8704000000000001,23.7,18.3
STR,Bahrain Grand Prix,7.0,C3,0.8826346153846316,0.763,23.7,18.3
BOT,Bahrain Grand Prix,7.0,C3,0.3574705882352873,0.7852,23.7,18.3
HUL,Bahrain Grand Prix,6.0,C1,0.54849999999999,0.0,23.7,18.2
VER,Bahrain Grand Prix,11.0,C3,1.056846153846152,0.0,23.5,18.2
RUS,Bahrain Grand Prix,11.0,C3,1.7300384615384559,0.0,23.5,18.2
PER,Bahrain Grand Prix,11.0,C3,1.6258461538461546,0.7376,23.5,18.2
LEC,Bahrain Grand Prix,11.0,C3,1.6028461538461585,0.8968,23.5,18.2
SAI,Bahrain Grand Prix,11.0,C3,1.3770384615384756,0.9168000000000001,23.5,18.2
NOR,Bahrain Grand Prix,11.0,C3,0.9032307692307739,0.4536,23.5,18.2
PIA,Bahrain Grand Prix,11.0,C3,0.27823076923077394,0.6214,23.5,18.2
ALO,Bahrain Grand Prix,11.0,C3,0.5462307692307746,0.7968,23.5,18.2
HAM,Bahrain Grand Prix,11.0,C3,0.43680769230769556,0.9034,23.5,18.2
TSU,Bahrain Grand Prix,8.0,C3,0.260352941176464,0.6792,23.5,18.2
ALB,Bahrain Grand Prix,8.0,C3,0.30085294117645844,0.6526,23.5,18.2
MAG,Bahrain Grand Prix,8.0,C3,0.824352941176457,0.6758,23.5,18.2
ZHO,Bahrain Grand Prix,8.0,C3,1.202352941176457,0.957,23.5,18.2
SAR,Bahrain Grand Prix,8.0,C3,1.3125625000000127,0.8464,23.5,18.2
RIC,Bahrain Grand Prix,11.0,C3,1.1425294117646985,0.8338,23.5,18.2
OCO,Bahrain Grand Prix,8.0,C3,0.7968529411764536,0.864,23.5,18.2
GAS,Bahrain Grand Prix,8.0,C3,0.705397959183685,0.8852,23.5,18.2
STR,Bahrain Grand Prix,8.0,C3,1.025442307692316,0.8248,23.5,18.2
BOT,Bahrain Grand Prix,8.0,C3,0.7273529411764628,0.8082,23.5,18.2
